bin,t_stat,p_val
1,-1.2100939423154164,0.12853255646140438
2,-1.3140298820630585,0.11067000618587719
3,-1.8481137187470844,0.04882178682800214
4,-1.1013973340374443,0.14965302565160335
5,-1.1381718755245858,0.14221953742324875
6,-1.505490203199101,0.08322979239517383
7,-1.7943042502186468,0.053172366536576594
8,-1.7047170185463378,0.06122053987362508
9,,
10,0.8245057135092071,0.2154804708130264
11,0.860650198194128,0.20588557643104166
12,0.9637246747255448,0.18018107881773526
13,0.8938663979737342,0.19733388088950526
14,0.9498986842349594,0.18348636737336027
15,1.0020501919141998,0.1712489175771306
16,1.0754288848833247,0.15508309065548986
17,0.9596401435803488,0.1811529518725885
18,0.8950029717546487,0.1970457779900321
19,0.9230923940393015,0.19002053693280552
20,-0.5928318766750107,0.28394445256922546
21,-2.1779493874674283,0.028682913041722796
22,-4.012950835054452,0.0015251401952114526
23,4.7045844343555165,0.0005564814177930801
24,8.03461629479036,1.0691962910045395e-05
25,1.6904983936053146,0.06259623592972435
26,6.4237392338649055,6.091508860489169e-05
27,3.399256494275417,0.003941304168220134
28,2.1485917045074303,0.03008718554303295
29,0.6692731758597261,0.26005939025103886
30,-4.073900773206495,0.001391663287811073
31,-3.6994570577085972,0.002462350553572265
32,-12.643941076396851,2.4635209443656566e-07
33,-7.507224260063002,1.832433522786145e-05
34,-3.0769590776178597,0.006602336726768489
35,0.6680153598135214,0.2604424013084242
36,1.9426378028443818,0.041976592527295575
37,2.057698072447674,0.03486976742812859
38,0.44273409675695274,0.3342038275222985
39,0.7990561634458818,0.22241637452531077
40,-0.7038064377063211,0.24967800418374797
41,-4.099985720490767,0.0013383816074145846
42,0.6867330910084609,0.2547781135476203
43,0.208063089355021,0.4199059341338395
44,1.6289060135927411,0.06888658509738765
45,2.461364360511783,0.018038901719564505
46,1.241537609884249,0.12289436788597484
47,0.8679147945851694,0.20399347924789696
48,1.0853739851825162,0.15298573549650768
49,2.10175033129845,0.032466785317533636
50,0.14844670001267485,0.44263153188490245
51,-0.5002890051483848,0.3144378707461405
52,-1.256226243367234,0.12033101470868254
53,-1.9768383362815614,0.03973148663631347
54,-4.395729546202991,0.0008655406096754019
55,-11.19442884359126,6.94287206632427e-07
56,-4.861270149958885,0.0004471292615931546
57,0.45577847154032725,0.3296734662649574
58,5.679307480721533,0.00015106595883179438
59,5.847064244383846,0.00012232621342340175
60,3.8630285913031055,0.0019146557393229344
61,2.8664997035891204,0.009291212640008269
62,4.815315843663906,0.00047658476924462655
63,2.795894978022006,0.010426007613772836
64,2.2789141242669886,0.024324398821344517
65,1.0447742853039588,0.16168794870577485
66,1.1628514127765013,0.13739723928388478
67,0.3544494897679785,0.36558257842659253
68,3.5935692328037643,0.0029031607168497086
69,-0.6212085238996621,0.27493513190685104
70,3.4875534741579584,0.0034282540747807067
71,4.39844087048655,0.0008621388922329853
72,0.7248301789586732,0.2434860100358871
73,2.002211612948147,0.03814016174042266
74,-0.5097923915968664,0.31123113681439424
75,-0.37961568568335363,0.35651657087450994
76,0.33721167562107407,0.37184412923600274
77,-0.3330801859453026,0.37335088981425746
78,0.6744951144660724,0.258472935599223
79,-0.9426078903258278,0.18524709636002695
80,-3.555793737217445,0.0030798623249594565
81,-5.037118702282755,0.00035126615988010035
82,-2.691203060976516,0.012373850755706432
83,-3.6451472138008096,0.002678904938175891
84,3.9090246454052733,0.0017850232460382865
85,3.8045949339301925,0.0020938588667936643
86,4.840064263546374,0.0004604708417844975
87,2.707977830829897,0.012038543494569103
88,2.3504499861356756,0.021636585928152853
89,3.098759388052915,0.00637397581926763
90,1.7226589949165314,0.059524106056510005
91,0.4931186651236531,0.31686831196419296
92,-0.18116672084315782,0.43012547990411987
93,0.39585476595022845,0.3507162133947861
94,0.1820935229980756,0.4297723676117973
95,0.278035116611827,0.3936335853928092
96,1.092373025161094,0.15152295427099852
97,0.6227198961622122,0.2744599522775236
98,-2.510851133547327,0.016632134071841585
99,-1.4033595656645996,0.09702858700620774
100,-3.6001621772415393,0.002873427977569535
101,-8.923460716960756,4.577713800457041e-06
102,-1.5551141664769679,0.07717055214018718
103,1.1420638151938471,0.14145024556026456
104,2.6824773108694635,0.01255198798088357
105,4.191982426022928,0.00116712480236371
106,2.940322440525563,0.008239047927679316
107,-1.7681001260096056,0.05541905815688246
108,-1.3958892945183532,0.09811145701740494
109,-3.301200275611229,0.004606128278443044
110,-7.892022524150097,1.2334596178125963e-05
111,-5.427460106015749,0.00020887644892186576
112,-2.8997334631645124,0.008801505696975555
113,-0.78376172386559,0.2266558550641926
114,-2.6184406010326238,0.013941072093293707
115,-4.388225164181303,0.0008750308495184581
116,-8.447252742523576,7.147969156058136e-06
117,-9.457488252669243,2.8405711598906416e-06
118,-3.769713171170852,0.002209204647592749
119,2.3357855419971676,0.022162586780345415
120,2.06988918292881,0.034188153326930544
121,1.1251920526284034,0.14480917679325084
122,3.057115162077854,0.006817540035593692
123,3.247652060371715,0.005017499178025654
124,0.8729017318130483,0.20270166576044596
125,-0.7014735111568552,0.25037112059336597
126,-0.3770833744381354,0.3574246453943068
127,-3.2647520037917537,0.004882137238087672
128,-6.398467312877895,6.274932819064624e-05
129,-5.281655474917288,0.0002529961533344023
